# time	AE	std
1980-06-01 00:00	514.250000	284.522063
1980-06-02 00:00	471.250000	313.969432
1980-06-03 00:00	207.500000	114.450293
1980-06-04 00:00	123.000000	89.440289
1980-06-05 00:00	99.708333	71.006723
1980-06-06 00:00	94.375000	88.096199
1980-06-07 00:00	242.541667	138.353039
1980-06-08 00:00	528.083333	204.552091
1980-06-09 00:00	213.708333	155.573967
1980-06-10 00:00	426.333333	237.924480
1980-06-11 00:00	632.583333	273.437524
1980-06-12 00:00	751.041667	208.485528
1980-06-13 00:00	678.875000	164.027917
1980-06-14 00:00	339.958333	300.344944
1980-06-15 00:00	129.708333	78.852355
1980-06-16 00:00	103.875000	35.921790
1980-06-17 00:00	239.041667	195.120360
1980-06-18 00:00	68.166667	28.188290
1980-06-19 00:00	119.833333	80.756029
1980-06-20 00:00	157.250000	141.529303
1980-06-21 00:00	110.166667	49.884795
1980-06-22 00:00	165.083333	94.815572
1980-06-23 00:00	178.208333	124.340339
1980-06-24 00:00	202.125000	120.038151
1980-06-25 00:00	284.750000	136.205807
1980-06-26 00:00	160.375000	146.947140
1980-06-27 00:00	386.250000	385.130610
1980-06-28 00:00	69.333333	38.041930
1980-06-29 00:00	70.833333	35.205813
1980-06-30 00:00	180.750000	133.512172
1980-07-01 00:00	196.416667	109.807704
1980-07-02 00:00	66.875000	17.109145
1980-07-03 00:00	152.166667	94.305086
1980-07-04 00:00	71.416667	59.355170
1980-07-05 00:00	291.958333	164.848410
1980-07-06 00:00	223.708333	247.462861
1980-07-07 00:00	202.166667	83.677781
1980-07-08 00:00	260.500000	117.181019
1980-07-09 00:00	359.916667	162.793525
1980-07-10 00:00	112.458333	75.696752
1980-07-11 00:00	153.416667	97.753424
1980-07-12 00:00	157.416667	102.005079
1980-07-13 00:00	174.250000	135.624882
1980-07-14 00:00	236.875000	158.733661
1980-07-15 00:00	138.125000	74.415001
1980-07-16 00:00	106.625000	47.877391
1980-07-17 00:00	155.208333	57.781432
1980-07-18 00:00	162.833333	99.660147
1980-07-19 00:00	502.250000	344.971864
1980-07-20 00:00	169.166667	74.157686
1980-07-21 00:00	234.083333	124.464389
1980-07-22 00:00	352.708333	207.606752
1980-07-23 00:00	110.416667	74.902787
1980-07-24 00:00	110.666667	48.116405
1980-07-25 00:00	144.875000	103.874637
1980-07-26 00:00	417.041667	313.889967
1980-07-27 00:00	260.625000	80.415125
1980-07-28 00:00	258.791667	139.192697
1980-07-29 00:00	158.791667	129.885561
1980-07-30 00:00	196.333333	119.971615
1980-07-31 00:00	224.458333	116.020980
1980-08-01 00:00	155.666667	69.117837
1980-08-02 00:00	109.750000	54.991106
1980-08-03 00:00	441.083333	209.946146
1980-08-04 00:00	147.625000	182.540957
1980-08-05 00:00	149.750000	127.928734
1980-08-06 00:00	151.000000	161.501918
1980-08-07 00:00	304.708333	148.592082
1980-08-08 00:00	208.958333	143.331625
1980-08-09 00:00	87.708333	49.508435
1980-08-10 00:00	184.583333	155.297167
1980-08-11 00:00	138.583333	86.513591
1980-08-12 00:00	153.458333	124.229444
1980-08-13 00:00	81.666667	33.877871
1980-08-14 00:00	125.083333	62.612623
1980-08-15 00:00	135.541667	50.727729
1980-08-16 00:00	165.916667	72.085648
1980-08-17 00:00	314.416667	363.192118
1980-08-18 00:00	332.833333	196.684180
1980-08-19 00:00	227.416667	137.782726
1980-08-20 00:00	171.250000	152.355491
1980-08-21 00:00	308.875000	183.142926
1980-08-22 00:00	102.208333	69.625694
1980-08-23 00:00	205.875000	184.841957
1980-08-24 00:00	78.458333	42.042400
1980-08-25 00:00	53.541667	12.325227
1980-08-26 00:00	184.666667	167.225873
1980-08-27 00:00	278.791667	229.583551
1980-08-28 00:00	219.958333	189.245522
1980-08-29 00:00	69.291667	40.726531
1980-08-30 00:00	134.083333	84.079112
1980-08-31 00:00	204.083333	150.235733
1980-09-01 00:00	120.250000	82.058436
1980-09-02 00:00	70.541667	18.218431
1980-09-03 00:00	54.833333	12.818691
1980-09-04 00:00	335.875000	195.381525
1980-09-05 00:00	293.958333	106.157586
1980-09-06 00:00	298.000000	275.132379
1980-09-07 00:00	141.708333	119.097870
1980-09-08 00:00	246.166667	182.185922
